	Text	Topic	TextSrcInre	Para_No	ADU_Type	labelValue	Features
586	In conclusion, considering the rise in accident rates, violent crime rates and suicide rates, I support that the guns should be strictly limited and the government should enforce a series of laws to prevent our societies from violence.	Gun control 	In conclusion, considering the rise in accident rates, violent crime rates and suicide rates, I support that the guns should be strictly limited and the government should enforce a series of laws to prevent our societies from violence.	5.0	ADU	1	Transition , Conclusion
4862	And everyone should find the time to do more and more to feel better physically and in everyone mind.	Best ways of reducing stress: listening to music, exercise, meditation	And everyone should find the time to do more and more to feel better physically and in everyone mind.	5.0	ADU	2	Suggestion , Conclusion
4274	In my opinion, it depends on how you value these learning activities to be like.	Should we require our young children to learn music and art	In my opinion, it depends on how you value these learning activities to be like.	4.0	ADU	3	Elaboration , Body
2020	All in all, I would maintain that the best phase of people life is their childhood.	Children are free	All in all, I would maintain that the best phase of people life is their childhood.	4.0	ADU	1	Transition , Introduction
5385	For instance, students can have an opportunity to take part in many kind of extracurricular activities happing around the campus such as attending conversation club, or joining sports club.	Dormitory or apartment?	For instance, students can have an opportunity to take part in many kind of extracurricular activities happing around the campus such as attending conversation club, or joining sports club.	2.0	ADU	3	Transition , Body
3817	First of all, the predecessors' mistakes are the first thing that we should consider when learning about the past.	Success and knowledge	First of all, the predecessors' mistakes are the first thing that we should consider when learning about the past.	2.0	ADU	3	Suggestion , Body
6411	Also, study form their mistakes helps us accomplish our goal with smooth sailing.	The maintenance of traditional skills and ways of life?	Also, study form their mistakes helps us accomplish our goal with smooth sailing.	3.0	ADU	3	Transition , Body
3948	I belive this, due to the fact that these schools can qualitatively check if they are giving an appropriate education to their students.	Students should be required to take regular standardized tests	I belive this, due to the fact that these schools can qualitatively check if they are giving an appropriate education to their students.	5.0	ADU	2	Elaboration , Conclusion
1477	I completely disagree with these kind of judgement which someone makes.	Best way to judge about people is to be familiar with their personality - not with their look	I completely disagree with these kind of judgement which someone makes.	1.0	Non-ADU	0	Thesis , Introduction
2542	In my opinion, smoking should not be permitted, especially in public places like restaurants because it will make the non-smokers breathe uncomfortably.	Smoking should not be permitted in restaurants	In my opinion, smoking should not be permitted, especially in public places like restaurants because it will make the non-smokers breathe uncomfortably.	1.0	ADU	1	Transition , Introduction
1467	Dwelling is one of the most important human needs after food which is undeniable.	Some people think that human needs for farmland, housing and industry are more	Dwelling is one of the most important human needs after food which is undeniable.	3.0	ADU	3	Prompt , Body
1773	To conclude, Earth is our home and it should be protected.	Human activities are harming the Earth	To conclude, Earth is our home and it should be protected.	5.0	ADU	1	Conclusion , Conclusion
1175	Never in history was advertising industry so developed as in modern society and it has led to some adverse sentiments in public because some deliver exaggerated and fake information.	Should all the advertisements be banned?	Never in history was advertising industry so developed as in modern society and it has led to some adverse sentiments in public because some deliver exaggerated and fake information.	1.0	Non-ADU	0	Elaboration , Introduction
1623	Student's who works tend to gather better financial resources which they can rely on during their university studies.	Taking a break before starting higher education is a good idea	Student's who works tend to gather better financial resources which they can rely on during their university studies.	2.0	ADU	3	Elaboration , Body
6337	These days, it is so hard for young people to get a proper job when they have not degree certificate from Universities.	The gender issue for getting education needs	These days, it is so hard for young people to get a proper job when they have not degree certificate from Universities.	3.0	ADU	3	Elaboration , Body
3132	Exercise is good not only for having a good health body, but also for the mind.	Physical exercise should be required part of every school day	Exercise is good not only for having a good health body, but also for the mind.	1.0	ADU	2	Transition , Introduction
2184	Better social skills allow them to resolve disagreements in a much more harmony way.	Qualification is still the fundamental determinant of an employee's competency of their jobs	Better social skills allow them to resolve disagreements in a much more harmony way.	3.0	ADU	3	Elaboration , Body
6054	Firstly, studying music, art or sports is also very important to students.	Schools should only teach children the academic subject	Firstly, studying music, art or sports is also very important to students.	3.0	ADU	3	MainIdea , Body
3066	Before the match starts, thousands of fans gathering outside of the stadium with team flags, colorful outfits, sound of trumpets and rattles... everywhere.	Live football game at a stadium	Before the match starts, thousands of fans gathering outside of the stadium with team flags, colorful outfits, sound of trumpets and rattles... everywhere.	2.0	ADU	3	Transition , Body
965	Criminals who don't have any chance of improvement or who have a past record of such crimes are, therefore, given capital punishment.	Capital punishment - necessary or not	Criminals who don't have any chance of improvement or who have a past record of such crimes are, therefore, given capital punishment.	4.0	ADU	2	Conclusion , Body
5636	They show the lifestyle of people who lived in thousands of years ago.	Replacing old buildings is important for any city but it should not affect historic houses	They show the lifestyle of people who lived in thousands of years ago.	2.0	ADU	3	Elaboration , Body
547	Therefore, they have more opprotunities to find a job and to be successful in the future.	Study at school or get a job?	Therefore, they have more opprotunities to find a job and to be successful in the future.	2.0	ADU	2	Elaboration , Body
4987	However, it is difficult to find a community which can perfectly meet our requirements.	One important thing that I want to change about my hometown	However, it is difficult to find a community which can perfectly meet our requirements.	1.0	Non-ADU	0	Rebuttal , Introduction
2404	Along with the high requirement for family and work, games are just some leisure activities for adults, not something necessary as they are meant to be for children.	The importance of games for adults comparing to children	Along with the high requirement for family and work, games are just some leisure activities for adults, not something necessary as they are meant to be for children.	4.0	ADU	2	Elaboration , Conclusion
2680	The former offers more excitement and convenience while the latter offers a cleaner, quieter and often friendlier place to live.	A more convenient life in a city	The former offers more excitement and convenience while the latter offers a cleaner, quieter and often friendlier place to live.	1.0	Non-ADU	0	Transition , Introduction
469	Firstly, extra income that women earn will contribute to their family's expenses.	Do married women usually work? Why and why not?	Firstly, extra income that women earn will contribute to their family's expenses.	2.0	ADU	3	MainIdea , Body
5579	Simply put, charging drivers fees regardless of the causes of the problems could be ridiculous and even unlawful.	Drivers have to pay a fee for driving in Rush Hour	Simply put, charging drivers fees regardless of the causes of the problems could be ridiculous and even unlawful.	4.0	ADU	2	Prompt , Body
3630	In contrast, if the roads are enlarged, everyone can go home in short time and there are hardly any collisions.	Government should regard investing in building roads as the most important	In contrast, if the roads are enlarged, everyone can go home in short time and there are hardly any collisions.	3.0	ADU	3	Transition , Body
4765	So, social activities have same rights to receive monetary support.	Financial support for sports and social activities	So, social activities have same rights to receive monetary support.	3.0	ADU	2	Prompt , Body
4222	That's why the richest athletes usually correspond to the greatest athletes in their fields, namely Michael Jordan or Tiger Woods.	Should we pay professional athletes (entertainers) a high salary?	That's why the richest athletes usually correspond to the greatest athletes in their fields, namely Michael Jordan or Tiger Woods.	2.0	ADU	3	Transition , Body
6802	For example, in a traditional Turkish family, while a mother has a sincere and thoughtful approach to the child, a father role must be present as authoritarian and conversative to raise a well-behaved child.	Fatherhood should be as present as motherhood in a child's life starting from the the birth	For example, in a traditional Turkish family, while a mother has a sincere and thoughtful approach to the child, a father role must be present as authoritarian and conversative to raise a well-behaved child.	2.0	ADU	3	Transition , Body
5166	First, indeed classroom learning is the best way to provide education comparing to online classes.	Classroom learnng vs online education	First, indeed classroom learning is the best way to provide education comparing to online classes.	2.0	ADU	2	Prompt , Body
4010	In coclusion, the museums are a visual source to know the history, tradition and culture of any place in the world.	Reasons why travelers visit Museums?	In coclusion, the museums are a visual source to know the history, tradition and culture of any place in the world.	4.0	ADU	2	Prompt , Conclusion
230	In this case, students learn things easily.	Lessons with teachers versus others sources	In this case, students learn things easily.	3.0	ADU	3	Transition , Body
1839	However, exams also have some drawbacks.	"""Pen and Paper"" Examination"	However, exams also have some drawbacks.	2.0	ADU	2	Transition , Body
5743	In my opinion, boys and girls should study together in the sense that they have a chance to know each other and learn how to behave with an opposite sex.	Attending boys and girls in a same school would bring many advantages	In my opinion, boys and girls should study together in the sense that they have a chance to know each other and learn how to behave with an opposite sex.	1.0	ADU	1	Elaboration , Introduction
2441	What they want is help their child to make a progress.	The opportunity to receive education from university	What they want is help their child to make a progress.	3.0	ADU	3	Elaboration , Body
6324	Thus to conclude, it can be said that when young people follow celebrities, it affects their health as well as behavior in a negative way.	Effect of celebrities on youth	Thus to conclude, it can be said that when young people follow celebrities, it affects their health as well as behavior in a negative way.	4.0	ADU	1	Transition , Conclusion
2873	It is a lot easier to appreciate something after you have seen it, and learned from it.	Zoos have no useful purpose?	It is a lot easier to appreciate something after you have seen it, and learned from it.	4.0	ADU	3	Prompt , Body
5816	So, I believe that living with parents is a wise choice for adults until they get a head start to their professional career with a reasonable income.	Young adults preference on how long they should live with their parents before moving out	So, I believe that living with parents is a wise choice for adults until they get a head start to their professional career with a reasonable income.	2.0	ADU	2	Elaboration , Body
5252	However, I did not give up, and believed that I would be better in the next round because I knew how to improve myself.	Keep trying and never stop working for your goals	However, I did not give up, and believed that I would be better in the next round because I knew how to improve myself.	3.0	ADU	3	Transition , Body
6768	Besides, girls are more likely to prefer some jobs related to emotion and communication, such as teacher, singer and interpreter.	We can not forcedly put the same numbers of males and females into every subject	Besides, girls are more likely to prefer some jobs related to emotion and communication, such as teacher, singer and interpreter.	2.0	ADU	3	Transition , Body
3914	They have more contact and more intimacy with their children.	Parents are the best teachers because they are more special than everybody else	They have more contact and more intimacy with their children.	3.0	ADU	3	Elaboration , Body
3286	People should not depend only on reading or listening to people talking about things to learn.	People learn in different ways and what teaching method do you prefer?	People should not depend only on reading or listening to people talking about things to learn.	5.0	Non-ADU	0	Suggestion , Conclusion
4541	It will be not persuasive if people just blame the advertising sector of a fast-food company for making them so fat and not reassess their own behaviors.	The advertising is the main cause of unhealthy eating habits	It will be not persuasive if people just blame the advertising sector of a fast-food company for making them so fat and not reassess their own behaviors.	2.0	ADU	3	Elaboration , Body
3289	In recent years, many airlines offer to their customers more and more number of cheap flights.	Cheap air travel should be encouraged?	In recent years, many airlines offer to their customers more and more number of cheap flights.	1.0	Non-ADU	0	Prompt , Introduction
6664	Therefore, it is not easy to influence young people these days when they are well equipped of life skills.	Celebrities & Their Influences	Therefore, it is not easy to influence young people these days when they are well equipped of life skills.	2.0	ADU	2	Elaboration , Body
3038	People who cannot afford to pay their tuition benefit from the scholarship, financial aids, and other funds.	Should the Government Provide Free College?	People who cannot afford to pay their tuition benefit from the scholarship, financial aids, and other funds.	4.0	ADU	3	Elaboration , Body
2131	In conclusion, it is evident that under suitable administration, the benefits of tourism outweigh its drawbacks.	Under suitable administration, tourism enhances local economic development	In conclusion, it is evident that under suitable administration, the benefits of tourism outweigh its drawbacks.	4.0	ADU	1	Transition , Conclusion
4316	Some people believe that since the environmental concern has risen, the car use will decrease.	The car use will definitely decrease in twenty years	Some people believe that since the environmental concern has risen, the car use will decrease.	1.0	Non-ADU	0	Prompt , Introduction
1163	Specifically, price control institution has been used in plenty of social areas, for example, in the farming products and in the real estate area; however, whether it can work out for alleviating traffic and pollution pressure ought to be evaluated.	Growing traffic and pollution can be controlled by increasing petrol prices	Specifically, price control institution has been used in plenty of social areas, for example, in the farming products and in the real estate area; however, whether it can work out for alleviating traffic and pollution pressure ought to be evaluated.	2.0	ADU	3	Transition , Body
1720	Critics may argue that the Internet have several drawbacks which can affect the education system negatively, for instance internet abuse and black webs.	The Internet is an adequate source of academic information	Critics may argue that the Internet have several drawbacks which can affect the education system negatively, for instance internet abuse and black webs.	4.0	ADU	2	Transition , Body
5874	Fame is a great responsibility for public people as their admirers are very sensitive to any acts of their idols.	Question about the influence of the media coverage of celebrities	Fame is a great responsibility for public people as their admirers are very sensitive to any acts of their idols.	2.0	ADU	3	Elaboration , Body
5641	It is interesting for most people to know about the way people live in thousands years ago.	Replacing old buildings is important for any city but it should not affect historic houses	It is interesting for most people to know about the way people live in thousands years ago.	3.0	ADU	3	Prompt , Body
6321	Adolescents follow not only the make up and attire of their favorite stars but also their behavior.	Effect of celebrities on youth	Adolescents follow not only the make up and attire of their favorite stars but also their behavior.	3.0	ADU	3	Transition , Body
5623	In addition, I can work long hours for earning more money.	Work for themselves vs work for employer	In addition, I can work long hours for earning more money.	2.0	ADU	3	Transition , Body
3686	This transformation may bring positive impacts to family in some cases.	Modern cooking methods have improved our life-style significantly	This transformation may bring positive impacts to family in some cases.	3.0	ADU	2	Elaboration , Body
6196	On the other hand, one part of the society, has doubt over the productivity of people who prefers to work or study from home.	The option to work or study from home is advantage or disadvantage	On the other hand, one part of the society, has doubt over the productivity of people who prefers to work or study from home.	3.0	Non-ADU	0	Transition , Body
1321	On the other hand, the advocators believe that zoos provide the public with good entertainment and also help to ensure the balance of the ecology.	Keeping animals in zoos	On the other hand, the advocators believe that zoos provide the public with good entertainment and also help to ensure the balance of the ecology.	3.0	ADU	2	Transition , Body
3796	In a nutshell, varied characteristics of various people, feeling tired of having the same occupation and solving the unemployed problem drive me to agree with the statement that the employer should not hire the staff for a whole life.	Businesses had better not employ the workers for the whole of their life	In a nutshell, varied characteristics of various people, feeling tired of having the same occupation and solving the unemployed problem drive me to agree with the statement that the employer should not hire the staff for a whole life.	5.0	ADU	1	Thesis , Conclusion
4329	People who hold different opinion may argue that a personal car uses is in need because a public transportation can't meet every place.	The car use will definitely decrease in twenty years	People who hold different opinion may argue that a personal car uses is in need because a public transportation can't meet every place.	4.0	ADU	2	Thesis , Body
447	"Society should ban all forms of the advertising

It is no secret that advertising become inseparable part of our modern life."	Society should ban all forms of the advertising	"Society should ban all forms of the advertising

It is no secret that advertising become inseparable part of our modern life."	0.0	Non-ADU	0	Suggestion , Body
3024	However, it would be indispensable that the government conduct a survey about the community opinion on the new university first.	Establishing a new university in your community	However, it would be indispensable that the government conduct a survey about the community opinion on the new university first.	5.0	Non-ADU	0	Thesis , Conclusion
1103	That is the reason why sectors such as medical care and education deserve more governmental support, because they are accessed by every individual in our society on a daily basis.	Government shouldn't put money on building theaters or sports stadiums	That is the reason why sectors such as medical care and education deserve more governmental support, because they are accessed by every individual in our society on a daily basis.	4.0	ADU	2	Transition , Body
5274	For instance, I made a month-long backpack trip through Southeast Asia last summer with my girlfriend.	Saving/Spending money	For instance, I made a month-long backpack trip through Southeast Asia last summer with my girlfriend.	4.0	ADU	3	Transition , Body
4367	To begin with, famous people are usually diligent people not lucky people.	What's more important: hard work or luck?	To begin with, famous people are usually diligent people not lucky people.	2.0	ADU	2	Transition , Body
6727	"The tax reduction of state school for parents who have children studying in private system

Some people who send their children to private schools contend that the amount of taxes they pay for the state education is unreasonable."	The tax reduction of state school for parents who have children studying in private system	"The tax reduction of state school for parents who have children studying in private system

Some people who send their children to private schools contend that the amount of taxes they pay for the state education is unreasonable."	0.0	Non-ADU	0	Prompt , Introduction
5993	However, people working for extended hours have been found having adverse effects on their health and personal life.	Working Extended hours should restricted	However, people working for extended hours have been found having adverse effects on their health and personal life.	1.0	ADU	2	Rebuttal , Introduction
1084	Furthermore, it is the educational functions traditional games hold that keep them alive today.	Traditional games or modern games in developing children's skills	Furthermore, it is the educational functions traditional games hold that keep them alive today.	4.0	ADU	2	Elaboration , Body
2389	"The importance of games for adults comparing to children

As people grow up, the arguments about the importance of games arise."	The importance of games for adults comparing to children	"The importance of games for adults comparing to children

As people grow up, the arguments about the importance of games arise."	0.0	Non-ADU	0	Prompt , Introduction
476	Therefore, it is no doubt that they play roles as a mother and as a wife better.	Do married women usually work? Why and why not?	Therefore, it is no doubt that they play roles as a mother and as a wife better.	3.0	ADU	2	Elaboration , Body
4054	Moreover, peaceful and close to the nature areas could help to avoid worries and sadness.	Life in  a city is much better than life in the countryside	Moreover, peaceful and close to the nature areas could help to avoid worries and sadness.	6.0	ADU	3	Transition , Body
927	Co-operation is essential for teamwork.	Competition or co-operation-which is better	Co-operation is essential for teamwork.	2.0	ADU	2	Prompt , Body
5633	In addition, they can develop tourism industries by attracting tourists.	Replacing old buildings is important for any city but it should not affect historic houses	In addition, they can develop tourism industries by attracting tourists.	1.0	ADU	2	Elaboration , Introduction
736	On the other hand, universities are regarded as institutions where abundant educational resources gather.	True function of a university	On the other hand, universities are regarded as institutions where abundant educational resources gather.	3.0	ADU	3	Transition , Body
2698	Besides the methods, from my point of view, providing professional training can be effective in encouraging further good work.	Salary increases and promotions to new positions are not the only ways	Besides the methods, from my point of view, providing professional training can be effective in encouraging further good work.	1.0	ADU	1	Elaboration , Introduction
61	Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life.	Living and studying overseas	Compared to the peers studying in the home country, it will be more likely for the one who is living overseas to be successful in adapting himself/herself into new environments and situations in life.	2.0	ADU	3	Prompt , Introduction
2559	It's obvious that violent behavior is growing more in films in recent 20 years.	Growing violence in films has affected youngsters in a negative way?	It's obvious that violent behavior is growing more in films in recent 20 years.	1.0	Non-ADU	0	Prompt , Introduction
1174	Should all the advertisements be banned?	Should all the advertisements be banned?	Should all the advertisements be banned?	0.0	Non-ADU	0	Prompt , Introduction
5470	High-salary instructors don't teach students harder because they earn more money.	I'm against providing more money to professors	High-salary instructors don't teach students harder because they earn more money.	3.0	ADU	3	Elaboration , Body
4428	As living in a competent world, we are like playing a survival game.	Once you are unique enough, you are already on the way to success	As living in a competent world, we are like playing a survival game.	2.0	ADU	3	Prompt , Body
2031	The number of individual who enroll in university are enormous, more than any school one person have studied.	Concentrate on the objectives - people attend schools for various reasons	The number of individual who enroll in university are enormous, more than any school one person have studied.	3.0	ADU	3	Elaboration , Body
393	It is a well-known fact that people who are addicted to games, especially online games, can eventually bear dangerous consequences.	Computer has negative effects to children	It is a well-known fact that people who are addicted to games, especially online games, can eventually bear dangerous consequences.	3.0	ADU	2	Transition , Body
4110	"One of my friends, for example, once cancelled an appointment to play basketball with in order to watch the favorite television show ""Infinete Challenges""."	Television has more bad than good in respect of bonds with family and friends	"One of my friends, for example, once cancelled an appointment to play basketball with in order to watch the favorite television show ""Infinete Challenges""."	2.0	ADU	3	Elaboration , Body
5189	I had to manage my boss as well as had to prepare my homework.	Part time job for teenage students	I had to manage my boss as well as had to prepare my homework.	2.0	ADU	3	Elaboration , Body
3357	Furthermore, supporting environment protection will benefit the company eventually.	Spending money on supporting art or protecting environment	Furthermore, supporting environment protection will benefit the company eventually.	3.0	ADU	2	Transition , Body
19	Some people thought that they should follow the local customs in order to integrate into their adopted countries’ cultures.	More people are migrating to other countries than ever before	Some people thought that they should follow the local customs in order to integrate into their adopted countries’ cultures.	1.0	Non-ADU	0	Elaboration , Introduction
1423	From my point of view big cities can be a good place for bringing up children.	It is better for children to grow up in the countryside than in a big city?	From my point of view big cities can be a good place for bringing up children.	1.0	ADU	1	Elaboration , Introduction
5803	Meanwhile, historic buildings can be a source of maintenance fees.	The city which I enjoy the most is a combination of history and modernity	Meanwhile, historic buildings can be a source of maintenance fees.	4.0	ADU	2	Transition , Body
5965	However, the fact is that not all customers are satisfied with what they bought under the introduction from advertisement.	Discuss both harms and good of advertising and give your opinion	However, the fact is that not all customers are satisfied with what they bought under the introduction from advertisement.	2.0	ADU	3	Transition , Body
1328	However, it is hoped that the standards of zoos should be leveled up to ensure that the animals in zoos are provided with good care and attention.	Keeping animals in zoos	However, it is hoped that the standards of zoos should be leveled up to ensure that the animals in zoos are provided with good care and attention.	4.0	Non-ADU	0	Rebuttal , Body
2705	So obviously, they will think about develop long term career with their company.	Salary increases and promotions to new positions are not the only ways	So obviously, they will think about develop long term career with their company.	3.0	ADU	3	Elaboration , Body
5643	Historic building can develop other industries such as restaurants or other food industries and handicrafts shops and so on.	Replacing old buildings is important for any city but it should not affect historic houses	Historic building can develop other industries such as restaurants or other food industries and handicrafts shops and so on.	3.0	ADU	3	Transition , Body
1737	Moreover, these products prove to ensure human health completely.	Should the cost of medicines be reduced?	Moreover, these products prove to ensure human health completely.	3.0	ADU	3	Transition , Body
742	From my perspective, animals should live in natural habitats instead of zoos.	Zoos should be built to protect rural animals	From my perspective, animals should live in natural habitats instead of zoos.	1.0	ADU	1	Elaboration , Introduction
1097	Their existences are based on their marketing strategies, the condition of facilities and the volume of audience.	Government shouldn't put money on building theaters or sports stadiums	Their existences are based on their marketing strategies, the condition of facilities and the volume of audience.	3.0	ADU	3	Elaboration , Body
2805	However, only under specific circumstance, when students master all of the systematic knowledge, can they accomplish research.	The precondition of doing research by professors	However, only under specific circumstance, when students master all of the systematic knowledge, can they accomplish research.	4.0	ADU	3	Transition , Body
3703	Moreover, another daily expense is also the considerable outgoings.	Learning to be independent is essential for young adults	Moreover, another daily expense is also the considerable outgoings.	3.0	ADU	3	Transition , Body
6243	In conclusion, I believe demerits of watching TV outweigh its merits and thus if students were allowed to freely watch TV without any proper controls by parents or teachers then it would produce more negative effects on children.	Children can effectively learn from watching television	In conclusion, I believe demerits of watching TV outweigh its merits and thus if students were allowed to freely watch TV without any proper controls by parents or teachers then it would produce more negative effects on children.	4.0	ADU	1	Transition , Conclusion
6305	Together, they will lessen the crowded image in most cities nowadays.	Way to reduce the amount of traffic?	Together, they will lessen the crowded image in most cities nowadays.	2.0	ADU	3	Elaboration , Body
247	The popularity of email and text messaging, as a result, leads to the losing of written language's position.	Email and text messaging threats written language	The popularity of email and text messaging, as a result, leads to the losing of written language's position.	3.0	ADU	2	Prompt , Body
5555	It was said that Thomas Edison tested around 10000 bulbs before inventing Light bulb.	Every experience always gives us something to learn and keep for life	It was said that Thomas Edison tested around 10000 bulbs before inventing Light bulb.	3.0	ADU	3	Elaboration , Body
435	However, it is disagreed that this can be the best and only way to assist developing countries.	Financial aid to develop countries	However, it is disagreed that this can be the best and only way to assist developing countries.	1.0	ADU	1	Rebuttal , Introduction
1897	Therefore, there is a suggestion that governments should not continue to fund the artists, but they ought to spend money on other necessary subjects such as medical research and space.	Funding artists	Therefore, there is a suggestion that governments should not continue to fund the artists, but they ought to spend money on other necessary subjects such as medical research and space.	1.0	Non-ADU	0	Transition , Introduction
1730	Admittedly, more lives will be saved by the use of effective medicines.	Should the cost of medicines be reduced?	Admittedly, more lives will be saved by the use of effective medicines.	2.0	ADU	3	Prompt , Body
3244	In conclusion, I strongly believe that we have to assit animals and provide them the best quality of life possible.	Should animals be free or live in zoos?	In conclusion, I strongly believe that we have to assit animals and provide them the best quality of life possible.	4.0	ADU	1	Transition , Conclusion
3308	Therefore, the more cars we use means that the faster gasoline in this world is used up.	Improve roads or public transports	Therefore, the more cars we use means that the faster gasoline in this world is used up.	2.0	ADU	3	Conclusion , Body
5577	Sometimes traffic jam occur only due to the malfunction of a traffic light, or unreasonable organization of roadways.	Drivers have to pay a fee for driving in Rush Hour	Sometimes traffic jam occur only due to the malfunction of a traffic light, or unreasonable organization of roadways.	4.0	ADU	3	Elaboration , Body
5306	As a result, further generations will never have the opportunity to see and study these animals.	Human needs vs saving land for endangered animals	As a result, further generations will never have the opportunity to see and study these animals.	2.0	ADU	3	Transition , Body
4020	In opposite situation if I am being rude, I can not get along well with each other.	A man 's manner is a mirror that reflects his virtues	In opposite situation if I am being rude, I can not get along well with each other.	2.0	ADU	3	Transition , Body
3852	First, it's true watching TV take a lot of your day, nevertheless it makes people meet and start a conversation about what they watch at other times like weather forecast and sport programs.	Television destroys communication among friends and family	First, it's true watching TV take a lot of your day, nevertheless it makes people meet and start a conversation about what they watch at other times like weather forecast and sport programs.	2.0	ADU	2	Elaboration , Body
2995	Above all, it is advantage which increase an opportunity on my resume for the sake of getting a better job.	Why are groups or organizations important to people?	Above all, it is advantage which increase an opportunity on my resume for the sake of getting a better job.	3.0	ADU	3	Transition , Body
2299	They can contribute effectively to the development of the economy because healthy workers can create more productivity.	Improved medical care	They can contribute effectively to the development of the economy because healthy workers can create more productivity.	2.0	ADU	3	Elaboration , Body
2890	Thus, the hidden meanings of serious movies are usually beyond words and images which make us think about ourselves.	Serious or entertaining movies	Thus, the hidden meanings of serious movies are usually beyond words and images which make us think about ourselves.	3.0	ADU	2	Transition , Body
3984	But I think in general television and movies influence our behavior in bad ways more than in good ways.	Television and Movies influence our lives both negatively and positively	But I think in general television and movies influence our behavior in bad ways more than in good ways.	1.0	ADU	1	Thesis , Introduction
2465	Some people argue that, this is a positive change and would help people to easily communicate.	Various local languages are becoming extinct 	Some people argue that, this is a positive change and would help people to easily communicate.	1.0	Non-ADU	0	Rebuttal , Introduction
3411	"Distance learning and online computer classes should replace classroom

During these digital age, the online classes has become more interest and more common in the society."	Distance learning and online computer classes should replace classroom	"Distance learning and online computer classes should replace classroom

During these digital age, the online classes has become more interest and more common in the society."	0.0	Non-ADU	0	Suggestion , Body
2770	Then again, the workers must try their best to finish the time limit.	Computers have made it possible for office workers to do their work	Then again, the workers must try their best to finish the time limit.	2.0	ADU	3	Transition , Body
6370	All thing considered, tourism has proven its friendly attitude towards the exploited areas in terms of finance and environmental impact.	Tourism: good or bad?	All thing considered, tourism has proven its friendly attitude towards the exploited areas in terms of finance and environmental impact.	4.0	ADU	2	Prompt , Introduction
1721	However, we should bear in mind that these problems are mainly triggered by students' wrong approach towards the Internet not the Internet itself.	The Internet is an adequate source of academic information	However, we should bear in mind that these problems are mainly triggered by students' wrong approach towards the Internet not the Internet itself.	4.0	ADU	3	Rebuttal , Body
2153	North American economists have published reports after scrutinizing the recent American economic situation that, technology is eliminating more jobs than creating one.	People are now more conscious to gain more educational qualification	North American economists have published reports after scrutinizing the recent American economic situation that, technology is eliminating more jobs than creating one.	3.0	ADU	3	Prompt , Body
800	Most university rankings pay attention to quality of these two activities.	Universities should give money to sport activities or libraries	Most university rankings pay attention to quality of these two activities.	1.0	Non-ADU	0	Prompt , Introduction
5665	While there are innumerous people will deem it ridiculous and argue doing the same task is the meaning of job, but from my perspective, I am on the side of my father.	Different types of tasks endow more colors to our life	While there are innumerous people will deem it ridiculous and argue doing the same task is the meaning of job, but from my perspective, I am on the side of my father.	1.0	Non-ADU	0	Transition , Introduction
1544	In addition, because the cost of treatment is often much higher than that of prevention, the government can save a lot of money for our country's health budget.	Prevention is better than cure	In addition, because the cost of treatment is often much higher than that of prevention, the government can save a lot of money for our country's health budget.	3.0	ADU	3	Transition , Body
4456	Thus, the school should replace some basic science class with some art and music class in order to cultivate student's interest of art without adding extra study pressure.	Younger school children should study art and music	Thus, the school should replace some basic science class with some art and music class in order to cultivate student's interest of art without adding extra study pressure.	4.0	ADU	2	Suggestion , Body
31	To conclude, although there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures.	More people are migrating to other countries than ever before	To conclude, although there are opposing ideas of neglecting one’s cultural values to adapt in the new cultures.	4.0	ADU	2	Conclusion , Conclusion
2447	Firstly, fiction books pay more attention to details.	Reading fictions is more pleasant	Firstly, fiction books pay more attention to details.	2.0	ADU	2	MainIdea , Body
6571	In conclusion, I totally believe that technology has a great contribution to our lives and civilization.	Negative effects of technological process	In conclusion, I totally believe that technology has a great contribution to our lives and civilization.	4.0	ADU	1	Transition , Conclusion
712	In the same way, the use of nuclear energy as an alternative to the hydro-kinetic energy causes less atmospheric pollution.	Government should make more effort to promote alternative sources of energy	In the same way, the use of nuclear energy as an alternative to the hydro-kinetic energy causes less atmospheric pollution.	3.0	ADU	3	Prompt , Body
2202	In conclusion, people from unfortunate countries need more international assistance while helping citizens in the home country is also necessary.	International aid	In conclusion, people from unfortunate countries need more international assistance while helping citizens in the home country is also necessary.	4.0	ADU	1	Transition , Conclusion
6605	It is argued that parents who are the closet to children mainly contribute to their accomplishments.	Classmates' impacts on children's performance at school	It is argued that parents who are the closet to children mainly contribute to their accomplishments.	1.0	Non-ADU	0	Prompt , Introduction
5234	It states that students learning capability increase after having refreshing vacation.	One long vacation or several long vacation	It states that students learning capability increase after having refreshing vacation.	3.0	ADU	2	Prompt , Body
1978	As every day we read and hear in televisions and newspapers that some factories hit the environment by their toxic substances.	Businesses should be only concerned about making profits.	As every day we read and hear in televisions and newspapers that some factories hit the environment by their toxic substances.	2.0	ADU	3	Elaboration , Body
6088	Further and even more importantly, most of the satisfaction of a job comes to people from their professional achievements, skills and the position they reach.	Factor of choosing a career.	Further and even more importantly, most of the satisfaction of a job comes to people from their professional achievements, skills and the position they reach.	3.0	ADU	3	Elaboration , Body
1670	Consequently, they will not be able to give their best in whatever they are doing.	Should people be forced to stop working?	Consequently, they will not be able to give their best in whatever they are doing.	3.0	ADU	3	Elaboration , Body
